timestamp,region,demand,generation
2024-01-01T03,PSCO,5403.0,5607.0
2024-01-01T03,PSEI,3484.0,1134.0
2024-01-01T03,SC,3249.0,2112.0
2024-01-01T03,SCEG,2737.0,2999.0
2024-01-01T03,SCL,1289.0,621.0
2024-01-01T03,SE,26446.0,27654.0
2024-01-01T03,SEC,240.0,1665.0
2024-01-01T03,SOCO,26446.0,27654.0
2024-01-01T03,SPA,20.0,257.0
2024-01-01T03,SRP,3187.0,6954.0
2024-01-01T03,SW,11719.0,15304.0
2024-01-01T03,SWPP,31966.0,32844.0
2024-01-01T03,TAL,300.0,351.0
2024-01-01T03,TEN,18249.0,17634.0
2024-01-01T03,TEPC,1627.0,2035.0
2024-01-01T03,TEX,44012.0,44014.0
2024-01-01T03,TIDC,281.0,193.0
2024-01-01T03,TPWR,628.0,455.0
2024-01-01T03,TVA,18249.0,17634.0
2024-01-01T03,US48,455874.0,455302.0
2024-01-01T03,WACM,3861.0,4447.0
2024-01-01T03,WALC,622.0,999.0
2024-01-01T03,WAUW,88.0,58.0
2024-01-01T04,AECI,3257.0,2860.0
2024-01-01T04,AVA,1560.0,997.0
2024-01-01T04,AZPS,3441.0,2281.0
2024-01-01T04,BANC,1872.0,1593.0
2024-01-01T04,BPAT,7241.0,9810.0
2024-01-01T04,CAL,30872.0,24453.0
2024-01-01T04,CAR,25743.0,25555.0
2024-01-01T04,CENT,31701.0,32823.0
2024-01-01T04,CHPD,278.0,1295.0
2024-01-01T04,CISO,25812.0,20260.0
2024-01-01T04,CPLE,7307.0,6636.0
2024-01-01T04,CPLW,622.0,547.0
2024-01-01T04,DOPD,287.0,563.0
2024-01-01T04,DUK,11860.0,13199.0
2024-01-01T04,EPE,910.0,797.0
2024-01-01T04,ERCO,43279.0,43281.0
2024-01-01T04,FLA,23448.0,24257.0
2024-01-01T04,FMPP,1738.0,1681.0
2024-01-01T04,FPC,5634.0,4203.0
2024-01-01T04,FPL,11856.0,12761.0
2024-01-01T04,GCPD,670.0,1015.0
2024-01-01T04,GVL,209.0,169.0
2024-01-01T04,HST,46.0,0.0
2024-01-01T04,IID,311.0,586.0
2024-01-01T04,IPCO,2000.0,1627.0
2024-01-01T04,ISNE,12911.0,11235.0
2024-01-01T04,JEA,1484.0,921.0
2024-01-01T04,LDWP,2606.0,1831.0
2024-01-01T04,LGEE,4166.0,3608.0
2024-01-01T04,MIDA,87739.0,93703.0
2024-01-01T04,MIDW,76221.0,73296.0
2024-01-01T04,MISO,68798.0,66828.0
2024-01-01T04,NE,12911.0,11235.0
2024-01-01T04,NEVP,4190.0,3566.0
2024-01-01T04,NW,43338.0,42955.0
2024-01-01T04,NWMT,1531.0,2636.0
2024-01-01T04,NY,16344.0,14290.0
2024-01-01T04,NYIS,16344.0,14290.0
2024-01-01T04,PACE,5831.0,4922.0
2024-01-01T04,PACW,2541.0,329.0
2024-01-01T04,PGE,2802.0,1185.0
2024-01-01T04,PJM,87739.0,93703.0
2024-01-01T04,PNM,1803.0,1502.0
2024-01-01T04,PSCO,5272.0,5547.0
2024-01-01T04,PSEI,3386.0,1136.0
2024-01-01T04,SC,3255.0,2008.0
2024-01-01T04,SCEG,2699.0,3005.0
2024-01-01T04,SCL,1219.0,615.0
2024-01-01T04,SE,26024.0,27302.0
2024-01-01T04,SEC,228.0,1626.0
2024-01-01T04,SOCO,26024.0,27302.0
2024-01-01T04,SPA,21.0,363.0
2024-01-01T04,SRP,3126.0,6943.0
2024-01-01T04,SW,11480.0,15084.0
2024-01-01T04,SWPP,31680.0,32460.0
2024-01-01T04,TAL,295.0,347.0
2024-01-01T04,TEN,18013.0,17327.0
2024-01-01T04,TEPC,1581.0,2000.0
2024-01-01T04,TEX,43279.0,43281.0
2024-01-01T04,TIDC,271.0,183.0
2024-01-01T04,TPWR,611.0,442.0
2024-01-01T04,TVA,18013.0,17327.0
2024-01-01T04,US48,447112.0,445560.0
2024-01-01T04,WACM,3829.0,4430.0
2024-01-01T04,WALC,619.0,986.0
2024-01-01T04,WAUW,90.0,58.0
2024-01-01T05,AECI,3170.0,2882.0
2024-01-01T05,AVA,1514.0,766.0
2024-01-01T05,AZPS,3376.0,2254.0
2024-01-01T05,BANC,1817.0,1532.0
2024-01-01T05,BPAT,7035.0,9478.0
2024-01-01T05,CAL,30005.0,23792.0
2024-01-01T05,CAR,25313.0,25187.0
2024-01-01T05,CENT,31266.0,32212.0
2024-01-01T05,CHPD,273.0,1343.0
2024-01-01T05,CISO,25007.0,19603.0
2024-01-01T05,CPLE,7182.0,6518.0
2024-01-01T05,CPLW,609.0,542.0
2024-01-01T05,DOPD,280.0,563.0
2024-01-01T05,DUK,11641.0,13037.0
2024-01-01T05,EPE,882.0,792.0
2024-01-01T05,ERCO,42318.0,42384.0
2024-01-01T05,FLA,23156.0,23669.0
2024-01-01T05,FMPP,1694.0,1631.0
2024-01-01T05,FPC,5509.0,4097.0
2024-01-01T05,FPL,11815.0,12254.0
2024-01-01T05,GCPD,662.0,1024.0
2024-01-01T05,GVL,205.0,169.0
2024-01-01T05,IID,298.0,586.0
2024-01-01T05,IPCO,1966.0,1581.0
2024-01-01T05,ISNE,12318.0,10576.0
2024-01-01T05,JEA,1473.0,1030.0
2024-01-01T05,LDWP,2620.0,1901.0
2024-01-01T05,LGEE,4080.0,3538.0
2024-01-01T05,MIDA,86831.0,93129.0
2024-01-01T05,MIDW,74463.0,71813.0
2024-01-01T05,MISO,67213.0,65393.0
2024-01-01T05,NE,12318.0,10576.0
2024-01-01T05,NEVP,4096.0,3569.0
2024-01-01T05,NW,42432.0,42265.0
2024-01-01T05,NWMT,1506.0,2571.0
2024-01-01T05,NY,15742.0,13613.0
2024-01-01T05,NYIS,15742.0,13613.0
2024-01-01T05,PACE,5758.0,4938.0
2024-01-01T05,PACW,2466.0,337.0
2024-01-01T05,PGE,2687.0,1173.0
2024-01-01T05,PJM,86831.0,93129.0
2024-01-01T05,PNM,1772.0,1423.0
2024-01-01T05,PSCO,5230.0,5601.0
2024-01-01T05,PSEI,3276.0,1142.0
2024-01-01T05,SC,3229.0,1999.0
2024-01-01T05,SCEG,2652.0,2933.0
2024-01-01T05,SCL,1200.0,563.0
2024-01-01T05,SE,25538.0,26717.0
2024-01-01T05,SEC,271.0,1649.0
2024-01-01T05,SOCO,25538.0,26717.0
2024-01-01T05,SPA,20.0,365.0
2024-01-01T05,SRP,3088.0,6897.0
2024-01-01T05,SW,11294.0,14822.0
2024-01-01T05,SWPP,31246.0,31847.0
2024-01-01T05,TAL,290.0,342.0
2024-01-01T05,TEN,17848.0,17074.0
2024-01-01T05,TEPC,1555.0,1958.0
2024-01-01T05,TEX,42318.0,42384.0
2024-01-01T05,TIDC,263.0,170.0
2024-01-01T05,TPWR,589.0,438.0
2024-01-01T05,TVA,17848.0,17074.0
2024-01-01T05,US48,438524.0,437253.0
2024-01-01T05,WACM,3803.0,4425.0
2024-01-01T05,WALC,621.0,921.0
2024-01-01T05,WAUW,91.0,58.0
2024-01-01T06,AECI,3104.0,2823.0
2024-01-01T06,AVA,1463.0,740.0
2024-01-01T06,AZPS,3302.0,2236.0
2024-01-01T06,BANC,1746.0,1484.0
2024-01-01T06,BPAT,6833.0,8994.0
2024-01-01T06,CAL,29218.0,22924.0
2024-01-01T06,CAR,24810.0,24922.0
2024-01-01T06,CENT,30818.0,31605.0
2024-01-01T06,CHPD,260.0,1313.0
2024-01-01T06,CISO,24317.0,18847.0
2024-01-01T06,CPLE,7032.0,6449.0
2024-01-01T06,CPLW,587.0,541.0
2024-01-01T06,DOPD,276.0,539.0
2024-01-01T06,DUK,11463.0,12951.0
2024-01-01T06,EPE,862.0,761.0
2024-01-01T06,ERCO,41681.0,41753.0
2024-01-01T06,FLA,20560.0,20440.0
2024-01-01T06,FMPP,1625.0,1558.0
2024-01-01T06,FPC,5472.0,4129.0
2024-01-01T06,FPL,11254.0,11675.0
2024-01-01T06,GCPD,658.0,903.0
2024-01-01T06,GVL,201.0,168.0
2024-01-01T06,HST,40.0,0.0
2024-01-01T06,IID,284.0,590.0
2024-01-01T06,IPCO,1932.0,1441.0
2024-01-01T06,ISNE,12110.0,10197.0
2024-01-01T06,JEA,1452.0,1033.0
2024-01-01T06,LDWP,2615.0,1826.0
2024-01-01T06,LGEE,3956.0,3457.0
2024-01-01T06,MIDA,85298.0,92042.0
2024-01-01T06,MIDW,73034.0,69612.0
2024-01-01T06,MISO,65974.0,63332.0
2024-01-01T06,NE,12110.0,10197.0
2024-01-01T06,NEVP,4002.0,3500.0
2024-01-01T06,NW,41308.0,41033.0
2024-01-01T06,NWMT,1465.0,2598.0
2024-01-01T06,NY,15193.0,13334.0
2024-01-01T06,NYIS,15193.0,13334.0
2024-01-01T06,PACE,5626.0,4922.0
2024-01-01T06,PACW,2391.0,326.0
2024-01-01T06,PGE,2581.0,1170.0
2024-01-01T06,PJM,85298.0,92042.0
2024-01-01T06,PNM,1737.0,1378.0
2024-01-01T06,PSCO,5114.0,5646.0
2024-01-01T06,PSEI,3152.0,1149.0
2024-01-01T06,SC,3131.0,2006.0
2024-01-01T06,SCEG,2597.0,2815.0
2024-01-01T06,SCL,1173.0,544.0
2024-01-01T06,SE,25124.0,26316.0
2024-01-01T06,SEC,232.0,1527.0
2024-01-01T06,SOCO,25124.0,26316.0
2024-01-01T06,SPA,23.0,361.0
2024-01-01T06,SRP,3015.0,6859.0
2024-01-01T06,SW,11037.0,14649.0
